playerId,playerName,country,SG: Total(Avg),SG: Total(Total SG:T2G),SG: Total(Total SG:P),SG: Total(Measured Rounds),SG: Off-the-Tee(Total SG:OTT),SG: Approach the Green(Total SG:APP),SG: Around-the-Green(Total SG:ARG),SG: Putting(Avg),SG: Putting(Total SG:Putting),Driving Distance(Avg),Scrambling(%),Overall Putting Average(Avg),Career Earnings(Money),Scoring Average (Actual)(Avg),Greens in Regulation Percentage(%),Victory Leaders(Victories),Money per Event Leaders(Money per event),Money per Event Leaders(Total money),Top 10 Finishes(Top 10),Hit Fairway Percentage(%),age,education,turnedPro,Winner_dummy
47347,Adam Schenk,United States,0.695,29.778,32.074,89,1.05,20.0,2.814,0.36,32.074,304.9,61.94,1.617,9714545.0,70.1,66.88,0,152913,4740291,6,56.27,31,Purdue University,2015,0
25493,Nick Taylor,Canada,0.686,29.79,16.173,67,-10.597,31.059,6.921,0.241,16.173,292.6,60.59,1.571,14354618.0,69.99,65.43,1,228533,5941871,6,59.31,35,University of Washington,2010,1
39546,Keith Mitchell,United States,0.667,40.105,7.237,71,59.752,-8.894,-0.437,0.102,7.237,312.9,58.02,1.596,12766934.0,70.18,67.07,0,113648,2954844,5,62.32,31,University of Georgia,2014,0
30927,Brendon Todd,United States,0.655,20.699,31.016,79,-35.248,12.769,36.277,0.393,31.016,282.7,64.27,1.562,16608623.0,69.9,64.92,0,126480,3414970,6,67.36,38,University of Georgia,2007,0
40115,Adam Svensson,Canada,0.647,30.041,29.463,92,4.064,26.043,8.499,0.32,29.463,294.0,62.29,1.604,5913877.0,70.02,66.83,1,135544,3930772,3,61.63,29,Barry University,2015,1
54783,Dylan Wu,United States,0.637,23.075,21.484,70,-1.747,17.015,2.501,0.307,21.484,298.6,59.45,1.623,2002271.0,69.82,69.95,0,57353,1548524,2,60.5,27,Northwestern University,2018,0
51634,Sahith Theegala,United States,0.617,17.832,32.746,82,-3.25,9.911,17.581,0.399,32.746,304.3,59.13,1.558,8985666.0,70.02,64.47,0,197332,5327960,7,51.99,25,Pepperdine University,2020,0
33399,Adam Hadwin,Canada,0.6,12.139,34.074,77,-7.481,16.107,2.127,0.443,34.074,294.3,62.66,1.591,19297965.0,69.98,67.13,0,142861,3714395,5,62.96,35,University of Louisville,2009,0
46414,Aaron Rai,England,0.594,69.889,-20.598,83,19.591,25.246,10.634,-0.248,-20.598,293.1,60.67,1.624,3797252.0,69.82,69.42,0,78055,2341651,3,68.37,28,outside the US,2012,0
51997,Andrew Novak,United States,0.592,18.217,16.738,59,-1.816,5.646,9.38,0.284,16.738,298.9,65.46,1.596,1680438.0,70.08,66.16,0,46689,1120548,2,59.16,28,Wofford College,2017,0
54591,Ben Griffin,United States,0.589,31.061,16.643,81,-3.654,0.909,28.238,0.205,16.643,300.7,61.33,1.576,2373534.0,69.81,65.64,0,64784,2008294,1,54.74,27,University of North Carolina-Chapel Hill,2018,0
27349,Alex Noren,Sweden,0.566,2.871,31.119,60,-21.668,3.52,22.077,0.519,31.119,300.2,61.34,1.58,11275916.0,70.56,63.25,0,58812,1352668,2,53.58,41,Oklahoma State University,2005,0
49771,J.T. Poston,United States,0.53,17.742,24.124,79,-8.594,20.012,0.785,0.305,24.124,296.8,59.77,1.599,13568479.0,69.85,67.93,0,108434,3036146,7,60.57,30,Western Carolina University,2015,0
36699,Patrick Rodgers,United States,0.525,29.844,13.699,83,17.628,-9.531,13.951,0.165,13.699,308.6,62.0,1.592,12421456.0,69.94,65.73,0,94135,2918193,5,53.69,31,Stanford University,2014,0
